date,team1,team2,team1Score,team2Score,outcome
2/16/2019,San Francisco Shock,Dallas Fuel,4,0,win
2/18/2019,San Francisco Shock,Los Angeles Gladiators,2,3,loss
2/25/2019,San Francisco Shock,Vancouver Titans,1,3,loss
3/1/2019,San Francisco Shock,Hanzhou Spark,3,1,win
3/2/2019,San Francisco Shock,Washington Justice,4,0,win
3/9/2019,San Francisco Shock,New York Excelsior,0,4,loss
3/10/2019,San Francisco Shock,Paris Eternal,3,1,win
3/22/2019,San Francisco Shock,Toronto Defiant,3,0,win
3/23/2019,San Francisco Shock,Philadelphia Fusion,4,0,win
3/24/2019,San Francisco Shock,Vancouver Titans,3,4,loss
4/6/2019,San Francisco Shock,Los Angeles Valiant,4,0,win
4/7/2019,San Francisco Shock,Guangzhou Charge,4,0,win
4/13/2019,San Francisco Shock,Guangzhou Charge,4,0,win
4/19/2019,San Francisco Shock,Toronto Defiant,4,0,win
4/21/2019,San Francisco Shock,Hanzhou Spark,4,0,win
5/3/2019,San Francisco Shock,Philadelphia Fusion,4,0,win
5/5/2019,San Francisco Shock,Shanghai Dragons,4,0,win
5/10/2019,San Francisco Shock,Shanghai Dragons,3,1,win
5/11/2019,San Francisco Shock,Hanzhou Spark,4,0,win
5/12/2019,San Francisco Shock,Vancouver Titans,4,2,win
6/6/2019,San Francisco Shock,Atlanta Reign,3,2,win
6/13/2019,San Francisco Shock,Houston Outlaws,2,3,loss
6/16/2019,San Francisco Shock,Seoul Dynasty,4,0,win
6/20/2019,San Francisco Shock,Boston Uprising,4,0,win
6/22/2019,San Francisco Shock,Florida Mayhem,4,0,win
6/28/2019,San Francisco Shock,Chengdu Hunters,2,3,loss
6/30/2019,San Francisco Shock,London Spitfire,4,0,win
7/13/2019,San Francisco Shock,Seoul Dynasty,3,1,win
7/14/2019,San Francisco Shock,Los Angeles Valiant,4,0,win
7/15/2019,San Francisco Shock,Shanghai Dragons,3,4,loss
7/27/2019,San Francisco Shock,Seoul Dynasty,3,1,win
8/4/2019,San Francisco Shock,Los Angeles Gladiators,3,2,win
8/10/2019,San Francisco Shock,Shanghai Dragons,3,1,win
8/11/2019,San Francisco Shock,Dallas Fuel,4,0,win
8/17/2019,San Francisco Shock,Chengdu Hunters,4,0,win
8/25/2019,San Francisco Shock,Vancouver Titans,3,2,win
8/26/2019,San Francisco Shock,Los Angeles Valiant,4,0,win
9/7/2019,San Francisco Shock,Atlanta Reign,3,4,loss
9/8/2019,San Francisco Shock,London Spitfire,4,0,win
9/13/2019,San Francisco Shock,Los Angeles Gladiators,4,0,win
9/14/2019,San Francisco Shock,Hanzhou Spark,4,0,win
9/15/2019,San Francisco Shock,New York Excelsior,4,0,win
9/29/2019,San Francisco Shock,Vancouver Titans,4,0,win
