start_time,map_type,map_name,player,team,stat_name,stat_amount
9/8/2019 4:30,PAYLOAD,Watchpoint: Gibraltar,Architect,San Francisco Shock,All Damage Done,51521.76949
9/13/2019 1:11,CONTROL,Busan,Architect,San Francisco Shock,All Damage Done,17641.78478
9/13/2019 2:29,PAYLOAD,Rialto,Architect,San Francisco Shock,All Damage Done,51511.69562
9/14/2019 20:41,PAYLOAD,Dorado,Architect,San Francisco Shock,All Damage Done,67192.80313
9/15/2019 20:45,PAYLOAD,Rialto,Architect,San Francisco Shock,All Damage Done,44499.78705
9/29/2019 19:32,HYBRID,Eichenwalde,Architect,San Francisco Shock,All Damage Done,54100.70343
9/29/2019 20:47,PAYLOAD,Watchpoint: Gibraltar,Architect,San Francisco Shock,All Damage Done,52168.00878
9/7/2019 1:15,CONTROL,Busan,Choihyobin,San Francisco Shock,All Damage Done,28726.77534
9/7/2019 1:35,HYBRID,Numbani,Choihyobin,San Francisco Shock,All Damage Done,12650.83525
9/7/2019 2:03,ASSAULT,Horizon Lunar Colony,Choihyobin,San Francisco Shock,All Damage Done,14046.84501
9/7/2019 2:23,PAYLOAD,Watchpoint: Gibraltar,Choihyobin,San Francisco Shock,All Damage Done,26597.96536
9/7/2019 2:45,CONTROL,Lijiang Tower,Choihyobin,San Francisco Shock,All Damage Done,16057.29083
9/7/2019 3:07,HYBRID,King's Row,Choihyobin,San Francisco Shock,All Damage Done,41866.2068
9/7/2019 3:36,PAYLOAD,Rialto,Choihyobin,San Francisco Shock,All Damage Done,31058.49812
9/8/2019 3:14,CONTROL,Busan,Choihyobin,San Francisco Shock,All Damage Done,30555.23615
9/8/2019 3:36,HYBRID,Numbani,Choihyobin,San Francisco Shock,All Damage Done,25915.87687
9/8/2019 4:10,ASSAULT,Horizon Lunar Colony,Choihyobin,San Francisco Shock,All Damage Done,13219.03332
9/13/2019 1:11,CONTROL,Busan,Choihyobin,San Francisco Shock,All Damage Done,17380.2431
9/13/2019 1:27,HYBRID,King's Row,Choihyobin,San Francisco Shock,All Damage Done,39370.38296
9/13/2019 2:00,ASSAULT,Horizon Lunar Colony,Choihyobin,San Francisco Shock,All Damage Done,24246.49114
9/13/2019 2:29,PAYLOAD,Rialto,Choihyobin,San Francisco Shock,All Damage Done,17210.8439
9/14/2019 19:11,CONTROL,Busan,Choihyobin,San Francisco Shock,All Damage Done,25819.40738
9/14/2019 19:32,HYBRID,King's Row,Choihyobin,San Francisco Shock,All Damage Done,33992.77177
9/14/2019 20:09,ASSAULT,Temple of Anubis,Choihyobin,San Francisco Shock,All Damage Done,34040.34653
9/14/2019 20:41,PAYLOAD,Dorado,Choihyobin,San Francisco Shock,All Damage Done,24608.19273
9/15/2019 19:10,CONTROL,Lijiang Tower,Choihyobin,San Francisco Shock,All Damage Done,25252.37412
9/15/2019 19:30,HYBRID,King's Row,Choihyobin,San Francisco Shock,All Damage Done,34389.35215
9/15/2019 20:09,ASSAULT,Temple of Anubis,Choihyobin,San Francisco Shock,All Damage Done,39070.03553
9/15/2019 20:45,PAYLOAD,Rialto,Choihyobin,San Francisco Shock,All Damage Done,14019.06156
9/29/2019 19:14,CONTROL,Lijiang Tower,Choihyobin,San Francisco Shock,All Damage Done,16888.88523
9/29/2019 19:32,HYBRID,Eichenwalde,Choihyobin,San Francisco Shock,All Damage Done,24457.40783
9/29/2019 20:15,ASSAULT,Temple of Anubis,Choihyobin,San Francisco Shock,All Damage Done,26728.28685
9/29/2019 20:47,PAYLOAD,Watchpoint: Gibraltar,Choihyobin,San Francisco Shock,All Damage Done,12236.83938
9/7/2019 1:15,CONTROL,Busan,moth,San Francisco Shock,All Damage Done,11365.45687
9/7/2019 1:35,HYBRID,Numbani,moth,San Francisco Shock,All Damage Done,5887.890064
9/7/2019 2:03,ASSAULT,Horizon Lunar Colony,moth,San Francisco Shock,All Damage Done,6432.308419
9/7/2019 2:23,PAYLOAD,Watchpoint: Gibraltar,moth,San Francisco Shock,All Damage Done,10803.41774
9/7/2019 2:45,CONTROL,Lijiang Tower,moth,San Francisco Shock,All Damage Done,6892.109216
9/7/2019 3:07,HYBRID,King's Row,moth,San Francisco Shock,All Damage Done,13978.71636
9/7/2019 3:36,PAYLOAD,Rialto,moth,San Francisco Shock,All Damage Done,11582.1302
9/8/2019 3:14,CONTROL,Busan,moth,San Francisco Shock,All Damage Done,10451.88525
9/8/2019 3:36,HYBRID,Numbani,moth,San Francisco Shock,All Damage Done,8017.973215
9/8/2019 4:10,ASSAULT,Horizon Lunar Colony,moth,San Francisco Shock,All Damage Done,4702.832942
9/8/2019 4:30,PAYLOAD,Watchpoint: Gibraltar,moth,San Francisco Shock,All Damage Done,12342.25275
9/13/2019 1:11,CONTROL,Busan,moth,San Francisco Shock,All Damage Done,5657.309232
9/13/2019 1:27,HYBRID,King's Row,moth,San Francisco Shock,All Damage Done,11361.16094
9/13/2019 2:00,ASSAULT,Horizon Lunar Colony,moth,San Francisco Shock,All Damage Done,7582.509404
9/13/2019 2:29,PAYLOAD,Rialto,moth,San Francisco Shock,All Damage Done,5470.870286
9/14/2019 19:11,CONTROL,Busan,moth,San Francisco Shock,All Damage Done,12536.04827
9/14/2019 19:32,HYBRID,King's Row,moth,San Francisco Shock,All Damage Done,11809.31816
9/14/2019 20:09,ASSAULT,Temple of Anubis,moth,San Francisco Shock,All Damage Done,12041.74465
9/14/2019 20:41,PAYLOAD,Dorado,moth,San Francisco Shock,All Damage Done,7658.650129
9/15/2019 19:10,CONTROL,Lijiang Tower,moth,San Francisco Shock,All Damage Done,10397.60124
9/15/2019 19:30,HYBRID,King's Row,moth,San Francisco Shock,All Damage Done,9446.69782
9/15/2019 20:09,ASSAULT,Temple of Anubis,moth,San Francisco Shock,All Damage Done,13231.73984
9/15/2019 20:45,PAYLOAD,Rialto,moth,San Francisco Shock,All Damage Done,6861.495339
9/29/2019 19:14,CONTROL,Lijiang Tower,moth,San Francisco Shock,All Damage Done,6743.361843
