player,team,hero,percent
Architect,San Francisco Shock,Bastion,0.8008061673
Architect,San Francisco Shock,Doomfist,0.05585068458
Architect,San Francisco Shock,Genji,0.0007869341904
Architect,San Francisco Shock,Reaper,0.1323286959
Architect,San Francisco Shock,Sombra,0.009440916455
Architect,San Francisco Shock,Symmetra,0.0003147229175
Architect,San Francisco Shock,Widowmaker,0.0004718786528
Choihyobin,San Francisco Shock,Reinhardt,0.0002633030325
Choihyobin,San Francisco Shock,Sigma,0.9843054732
Choihyobin,San Francisco Shock,Wrecking Ball,0.01543122395
moth,San Francisco Shock,Ana,0.003833453042
moth,San Francisco Shock,Baptiste,0.2538911687
moth,San Francisco Shock,Brigitte,0.00008451343218
moth,San Francisco Shock,Lucio,0.6822502966
moth,San Francisco Shock,Mercy,0.05720271781
moth,San Francisco Shock,Moira,0.002737850471
Nevix,San Francisco Shock,Sigma,0.9989246167
Nevix,San Francisco Shock,Wrecking Ball,0.001075383299
Rascal,San Francisco Shock,Mei,0.7303063489
Rascal,San Francisco Shock,Pharah,0.1767554116
Rascal,San Francisco Shock,Reaper,0.08353722735
Rascal,San Francisco Shock,Symmetra,0.008459730358
Rascal,San Francisco Shock,Tracer,0.0009412818389
sinatraa,San Francisco Shock,Bastion,0.01089864329
sinatraa,San Francisco Shock,Doomfist,0.865344447
sinatraa,San Francisco Shock,Genji,0.0001680463734
sinatraa,San Francisco Shock,McCree,0.003466046799
sinatraa,San Francisco Shock,Mei,0.01811319705
sinatraa,San Francisco Shock,Reaper,0.002236140599
sinatraa,San Francisco Shock,Soldier: 76,0.004191038631
sinatraa,San Francisco Shock,Sombra,0.05941672644
sinatraa,San Francisco Shock,Symmetra,0.006540580021
sinatraa,San Francisco Shock,Tracer,0.02962513402
smurf,San Francisco Shock,Orisa,0.97509702
smurf,San Francisco Shock,Reinhardt,0.001314730815
smurf,San Francisco Shock,Winston,0.0001755934529
smurf,San Francisco Shock,Wrecking Ball,0.02341265569
STRIKER,San Francisco Shock,Bastion,0.06896388164
STRIKER,San Francisco Shock,Mei,0.009078990998
STRIKER,San Francisco Shock,Reaper,0.8900276664
STRIKER,San Francisco Shock,Sombra,0.008961871384
STRIKER,San Francisco Shock,Symmetra,0.001305574843
STRIKER,San Francisco Shock,Tracer,0.02166201476
super,San Francisco Shock,Orisa,1
Viol2t,San Franciso Shock,Ana,0.226292913
Viol2t,San Franciso Shock,Baptiste,0.06246924993
Viol2t,San Franciso Shock,Moira,0.7112378371
